close,volume,date,high,low,open
153132545.7128391,200597436871602.16,2018-01-18 23:59:59.999000+00:00,161571915.89350033,146060489.99997014,149559971.39154354
154517713.99998415,143330639708111.78,2018-01-19 23:59:59.999000+00:00,159648150.99998364,148834710.9960909,152530678.39350337
171714152.99998242,157104235085807.9,2018-01-20 23:59:59.999000+00:00,174427135.99998215,155167336.99998412,155167336.99998412
154420525.99998415,132257113178098.44,2018-01-21 23:59:59.999000+00:00,171670225.99998242,150268520.99998462,171581032.99998242
145901401.01365417,140273873059825.64,2018-01-22 23:59:59.999000+00:00,159691613.2128369,136675952.00681934,154859821.99998415
144767093.20307693,128940155476976.34,2018-01-23 23:59:59.999000+00:00,151549626.7968247,134927606.6015177,146076241.49998227
151204978.59965566,132413986160596.05,2018-01-24 23:59:59.999000+00:00,153095140.59965622,141732773.1982213,145233293.20307678
149603652.9901538,118110764805156.16,2018-01-25 23:59:59.999000+00:00,156478741.4931465,146919678.99015522,152034251.29985124
148646653.59758043,129497753447354.23,2018-01-26 23:59:59.999000+00:00,155092396.0986025,139317809.20110083,149558471.99991944
152229956.7987505,100902989129676.56,2018-01-27 23:59:59.999000+00:00,154547864.59757742,146222297.79875356,148693224.5975804
156828505.2010919,111109891011527.31,2018-01-28 23:59:59.999000+00:00,160208229.20109016,152690339.201094,152690339.201094
150942502.0195736,94570528753615.77,2018-01-29 23:59:59.999000+00:00,158016728.40226316,149376473.00980753,156418682.99992022
135727606.3768809,115419083182112.4,2018-01-30 23:59:59.999000+00:00,151086809.00980803,134786168.62297517,151081458.99027675
136829860.47073415,107992781378502.56,2018-01-31 23:59:59.999000+00:00,138978473.97073463,130870765.65430368,135753128.62297466
123114500.02449007,133326493797406.22,2018-02-01 23:59:59.999000+00:00,138055115.77926487,118243176.70895696,137046732.48538262
118755925.99993291,170858628633705.5,2018-02-02 23:59:59.999000+00:00,122735112.67097422,104667881.396549,122735112.67097422
123384191.7811803,97683448995784.84,2018-02-03 23:59:59.999000+00:00,126824725.99992836,110967918.66399984,119043311.33587028
111309227.32806212,95125098033098.28,2018-02-04 23:59:59.999000+00:00,125535333.3358666,108003849.44915774,123394816.2264928
94035250.66408809,124868579704761.48,2018-02-05 23:59:59.999000+00:00,112883513.69146895,91350315.97658734,111222222.44524968
105066699.99997164,189277300326451.47,2018-02-06 23:59:59.999000+00:00,106376987.64645566,82074885.01956941,95339660.00002591
103283854.95315194,124243743999966.44,2018-02-07 23:59:59.999000+00:00,115315463.48440509,98022321.07913476,105086892.67575288
112412021.875009,126667162288161.05,2018-02-08 23:59:59.999000+00:00,115988444.68753023,103508276.8672145,103508276.8672145
119041358.88679016,92273555046407.38,2018-02-09 23:59:59.999000+00:00,119041358.88679016,107586867.4169718,112497021.875009
117473392.82233612,106015583488063.6,2018-02-10 23:59:59.999000+00:00,124294741.08894175,113025775.02448188,118811091.0645244
110770844.17731255,83414836352050.05,2018-02-11 23:59:59.999000+00:00,117394769.65339077,108061238.83063124,117394769.65339077
121892317.61726092,85243992384051.14,2018-02-12 23:59:59.999000+00:00,122702736.53327703,110926986.1450861,110926986.1450861
117409917.18268792,77788709852206.88,2018-02-13 23:59:59.999000+00:00,122327904.11628464,115458625.68366332,121894357.8662844
129373826.78323144,108008590789185.08,2018-02-14 23:59:59.999000+00:00,129699626.572294,117431906.53327388,117431906.53327388
